>VIRSorter_short2-ContigCoA-KX349310_51|4|l
VIRSorter_short2-ContigCoA-KX349310_51-gene_1|2|328|326|+|Phage_cluster_793|156.6|2.6e-48|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_51-gene_2|508|927|419|+|Phage_cluster_35|174.7|2.8e-54|1|GPW_gp25|58.6|1.8e-18
VIRSorter_short2-ContigCoA-KX349310_51-gene_3|927|2957|2030|+|Phage_cluster_112|902.6|5.2e-274|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_51-gene_4|2965|5000|2035|+|Phage_cluster_119|366.0|9.3e-112|1|Pfam-B_6177|178.5|1.6e-54
>VIRSorter_short2-ContigCoA-KX349310_49|3|l
VIRSorter_short2-ContigCoA-KX349310_49-gene_1|2|1771|1769|+|Phage_cluster_874|665.6|5.2e-202|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_49-gene_2|2508|2927|419|+|Phage_cluster_35|174.7|2.8e-54|1|GPW_gp25|58.6|1.8e-18
VIRSorter_short2-ContigCoA-KX349310_49-gene_3|2927|4957|2030|+|Phage_cluster_112|902.6|5.2e-274|1|-|-|-
>VIRSorter_short2-ContigCoA-KX349310_39|11|l
VIRSorter_short2-ContigCoA-KX349310_39-gene_1|2|157|155|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_2|235|1146|911|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_3|1233|2471|1238|+|Phage_cluster_407|761.3|9.7e-232|1|ResIII|61.2|6.1e-19
VIRSorter_short2-ContigCoA-KX349310_39-gene_4|2471|2698|227|+|gi_326783387_ref_YP_004323667.1_|106|6.87e-33|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_5|2698|2886|188|+|gi_326783386_ref_YP_004323668.1_|108|4.49e-34|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_6|3122|3295|173|+|Phage_cluster_969|105.8|3.1e-33|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_7|3510|3728|218|+|Phage_cluster_2862|150.7|4.3e-47|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_8|3728|3964|236|+|Phage_cluster_968|135.1|2.6e-42|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_9|4340|4546|206|+|Phage_cluster_4127|161.9|1.5e-50|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_10|4588|4824|236|+|Phage_cluster_876|123.7|1.2e-38|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_39-gene_11|4916|5000|84|+|Phage_cluster_1608|53.1|1.1e-16|1|-|-|-
>VIRSorter_short2-ContigCoA-KX349310_37|10|l
VIRSorter_short2-ContigCoA-KX349310_37-gene_1|3|155|152|+|Phage_cluster_3273|95.5|8.3e-30|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_37-gene_2|152|310|158|+|Phage_cluster_1609|101.7|5.2e-32|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_37-gene_3|385|564|179|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_37-gene_4|567|1385|818|+|Phage_cluster_2250|361.7|8.1e-111|1|MethyltransfD12|186.8|2.6e-57
VIRSorter_short2-ContigCoA-KX349310_37-gene_5|1382|1639|257|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_37-gene_6|1723|2157|434|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_37-gene_7|2235|3146|911|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_37-gene_8|3233|4471|1238|+|Phage_cluster_407|761.3|9.7e-232|1|ResIII|61.2|6.1e-19
VIRSorter_short2-ContigCoA-KX349310_37-gene_9|4471|4698|227|+|gi_326783387_ref_YP_004323667.1_|106|6.87e-33|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_37-gene_10|4698|4886|188|+|gi_326783386_ref_YP_004323668.1_|108|4.49e-34|1|-|-|-
>VIRSorter_short2-ContigCoA-KX349310_40|14|l
VIRSorter_short2-ContigCoA-KX349310_40-gene_1|3|146|143|+|-|-|-|-|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_2|233|1471|1238|+|Phage_cluster_407|761.3|9.7e-232|1|ResIII|61.2|6.1e-19
VIRSorter_short2-ContigCoA-KX349310_40-gene_3|1471|1698|227|+|gi_326783387_ref_YP_004323667.1_|106|6.87e-33|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_4|1698|1886|188|+|gi_326783386_ref_YP_004323668.1_|108|4.49e-34|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_5|2122|2295|173|+|Phage_cluster_969|105.8|3.1e-33|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_6|2510|2728|218|+|Phage_cluster_2862|150.7|4.3e-47|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_7|2728|2964|236|+|Phage_cluster_968|135.1|2.6e-42|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_8|3340|3546|206|+|Phage_cluster_4127|161.9|1.5e-50|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_9|3588|3824|236|+|Phage_cluster_876|123.7|1.2e-38|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_10|3916|4188|272|+|Phage_cluster_1608|184.9|9.2e-58|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_11|4176|4391|215|+|Phage_cluster_1852|114.2|7.3e-36|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_12|4434|4724|290|+|Phage_cluster_3352|180.8|2e-56|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_13|4721|4855|134|+|Phage_cluster_6648|100.1|1.8e-31|1|-|-|-
VIRSorter_short2-ContigCoA-KX349310_40-gene_14|4852|5000|148|+|Phage_cluster_2223|93.8|2.2e-29|1|-|-|-
>VIRSorter_short2-ContigCoA-KX349310_46|8|l
VIRSorter_short2-ContigCoA-KX349310_46-gene_1|1|420|419|+|Phage_cluster_444|172.3|1.1e-53|1|Pfam-B_1247|190.0|3.4e-58
