#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VIRSorter_short1-ContigCoA-KX349310_15-gene_5 -          2OG-FeII_Oxy         PF03171.15   0.00011   14.8   0.2    0.0002   14.0   0.2   1.4   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_5 -          2OG-FeII_Oxy         PF03171.15   0.00011   14.8   0.2    0.0002   14.0   0.2   1.4   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_2 -          2OG-FeII_Oxy         PF03171.15   0.00011   14.8   0.2    0.0002   14.0   0.2   1.4   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_15-gene_5 -          2OG-FeII_Oxy_3       PF13640.1    1.1e-11   37.5   0.1   1.6e-11   37.0   0.1   1.2   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_5 -          2OG-FeII_Oxy_3       PF13640.1    1.1e-11   37.5   0.1   1.6e-11   37.0   0.1   1.2   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_2 -          2OG-FeII_Oxy_3       PF13640.1    1.1e-11   37.5   0.1   1.6e-11   37.0   0.1   1.2   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_15-gene_5 -          2OG-FeII_Oxy_5       PF13759.1    0.00018   14.2   0.2   0.00085   12.0   0.2   2.0   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_5 -          2OG-FeII_Oxy_5       PF13759.1    0.00018   14.2   0.2   0.00085   12.0   0.2   2.0   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_2 -          2OG-FeII_Oxy_5       PF13759.1    0.00018   14.2   0.2   0.00085   12.0   0.2   2.0   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_10-gene_2 -          Amidase_2            PF01510.20   3.9e-07   22.6   2.0   1.2e-06   21.0   2.0   1.8   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_8-gene_2  -          Amidase_2            PF01510.20   9.4e-07   21.3   2.0   2.5e-06   19.9   2.0   1.7   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_9-gene_2  -          Amidase_2            PF01510.20   9.4e-07   21.3   2.0   2.5e-06   19.9   2.0   1.7   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_11 -          ATP-synt_G           PF04718.10   0.00014   14.9   0.0   0.00022   14.3   0.0   1.4   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_8  -          ATP-synt_G           PF04718.10   0.00037   13.5   0.0   0.00075   12.5   0.0   1.4   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_15-gene_3 -          Augurin              PF15187.1    0.00056   12.2   0.0   0.00091   11.5   0.0   1.4   2   0   0   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_3 -          Augurin              PF15187.1    0.00056   12.2   0.0   0.00091   11.5   0.0   1.4   2   0   0   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_12-gene_5 -          Baculo_PEP_C         PF04513.7    0.00017   13.8   9.1   0.00024   13.3   5.1   2.3   1   1   1   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_15-gene_1 -          Baculo_PEP_C         PF04513.7    0.00017   13.8   8.9   0.00028   13.1   5.0   2.5   1   1   1   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_9 -          BTB_2                PF02214.17   0.00039   13.0   0.4   0.00049   12.7   0.4   1.1   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_6 -          BTB_2                PF02214.17   0.00039   13.0   0.4   0.00049   12.7   0.4   1.1   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_10-gene_4 -          CCDC-167             PF15188.1    0.00036   12.9   0.8   0.00041   12.7   0.8   1.2   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_12-gene_2 -          CCDC-167             PF15188.1    0.00036   12.9   0.8   0.00041   12.7   0.8   1.2   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_9-gene_4  -          CCDC-167             PF15188.1    0.00036   12.9   0.8   0.00041   12.7   0.8   1.2   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_15-gene_6 -          CDC45                PF02724.9      0.021    5.1   6.9     0.023    5.0   6.9   1.0   1   0   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_6 -          CDC45                PF02724.9      0.021    5.1   6.9     0.023    5.0   6.9   1.0   1   0   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_3 -          CDC45                PF02724.9      0.021    5.1   6.9     0.023    5.0   6.9   1.0   1   0   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_10-gene_4 -          CP12                 PF02672.10   1.2e-15   50.1   1.3   1.5e-15   49.9   1.3   1.1   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_12-gene_2 -          CP12                 PF02672.10   1.2e-15   50.1   1.3   1.5e-15   49.9   1.3   1.1   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_9-gene_4  -          CP12                 PF02672.10   1.2e-15   50.1   1.3   1.5e-15   49.9   1.3   1.1   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_10-gene_5 -          CpeT                 PF06206.6    4.2e-24   77.5   1.9   3.7e-13   41.9   0.5   2.3   1   1   1   2   2   2   2 -
VIRSorter_short1-ContigCoA-KX349310_12-gene_3 -          CpeT                 PF06206.6    4.2e-24   77.5   1.9   3.7e-13   41.9   0.5   2.3   1   1   1   2   2   2   2 -
VIRSorter_short1-ContigCoA-KX349310_9-gene_5  -          CpeT                 PF06206.6    1.1e-14   46.8   0.2   1.3e-11   36.9   0.0   2.3   1   1   1   2   2   2   2 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_8 -          DDE_Tnp_IS66_C       PF13817.1    0.00068   12.1   1.2   0.00093   11.6   1.2   1.2   1   0   0   1   1   1   1 -
