#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VIRSorter_short1-ContigCoA-KX349310_10-gene_6 -          Pfam-B_209           PB000209     1.9e-17   55.4   0.0   2.3e-17   55.2   0.0   1.0   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_12-gene_4 -          Pfam-B_209           PB000209     1.9e-17   55.4   0.0   2.3e-17   55.2   0.0   1.0   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_3 -          Pfam-B_1303          PB001303        0.78    0.9  13.0       1.1    0.4  13.0   1.1   1   0   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_3 -          Pfam-B_2267          PB002267       0.011    7.1   8.4    0.0094    7.3   7.4   1.3   1   1   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_9 -          Pfam-B_2303          PB002303     0.00014   13.1   0.2   0.00015   13.0   0.2   1.0   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_6 -          Pfam-B_2303          PB002303     0.00014   13.1   0.2   0.00015   13.0   0.2   1.0   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_9 -          Pfam-B_3729          PB003729       5e-05   14.6   0.1   5.5e-05   14.5   0.1   1.0   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_6 -          Pfam-B_3729          PB003729       5e-05   14.6   0.1   5.5e-05   14.5   0.1   1.0   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_3 -          Pfam-B_3932          PB003932      0.0012   10.2   8.4    0.0016    9.8   8.4   1.1   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_3 -          Pfam-B_4149          PB004149         9.6   -2.1  23.0        31   -3.8  23.2   1.7   1   1   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_10-gene_2 -          Pfam-B_4911          PB004911     0.00051   12.2   0.3    0.0019   10.3   0.1   2.0   2   0   0   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_8-gene_2  -          Pfam-B_5206          PB005206        0.61    1.6  12.2    0.0058    8.2   2.5   2.2   2   0   0   2   2   2   0 -
VIRSorter_short1-ContigCoA-KX349310_9-gene_2  -          Pfam-B_5206          PB005206        0.61    1.6  12.2    0.0058    8.2   2.5   2.2   2   0   0   2   2   2   0 -
VIRSorter_short1-ContigCoA-KX349310_10-gene_2 -          Pfam-B_5206          PB005206        0.83    1.1  14.3     0.003    9.1   2.6   2.2   2   0   0   2   2   2   0 -
VIRSorter_short1-ContigCoA-KX349310_10-gene_2 -          Pfam-B_5638          PB005638     4.7e-06   19.0   0.0     1e-05   17.9   0.0   1.6   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_8-gene_2  -          Pfam-B_5638          PB005638       1e-05   17.9   0.0   2.2e-05   16.9   0.0   1.5   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_9-gene_2  -          Pfam-B_5638          PB005638       1e-05   17.9   0.0   2.2e-05   16.9   0.0   1.5   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_4-gene_6 -          Pfam-B_6475          PB006475       3e-76  249.7   3.7   4.8e-76  249.0   3.7   1.4   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_5-gene_4 -          Pfam-B_6475          PB006475     3.5e-76  249.4   3.7   5.6e-76  248.8   3.7   1.3   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_8-gene_1 -          Pfam-B_6485          PB006485        0.22    2.1   8.0      0.29    1.7   8.0   1.1   1   0   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_10-gene_2 -          Pfam-B_6794          PB006794         9.4   -4.5  19.4        14   -5.1  19.4   1.2   1   0   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_4-gene_6 -          Pfam-B_11105         PB011105      0.0034    9.6   4.8     0.011    8.0   0.5   2.8   2   0   0   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_5-gene_4 -          Pfam-B_11105         PB011105      0.0039    9.4   4.8     0.012    7.9   0.5   2.8   2   0   0   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_15-gene_3 -          Pfam-B_12335         PB012335     0.00069   11.4   1.4    0.0011   10.7   0.2   1.9   2   0   0   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_3 -          Pfam-B_12335         PB012335     0.00069   11.4   1.4    0.0011   10.7   0.2   1.9   2   0   0   2   2   2   1 -
VIRSorter_short1-ContigCoA-KX349310_5-gene_4 -          Pfam-B_13090         PB013090         3.1    0.2  18.5     0.022    7.1   4.9   4.1   3   1   0   3   3   3   0 -
