#                                                                     --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name                 accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ----------       -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
VIRSorter_short1-ContigCoA-KX349310_15-gene_4 -          Phage_cluster_1100.ali_faa -            1.6e-41  132.0   0.2   1.8e-41  131.8   0.2   1.0   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_4 -          Phage_cluster_1100.ali_faa -            1.6e-41  132.0   0.2   1.8e-41  131.8   0.2   1.0   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_1 -          Phage_cluster_1100.ali_faa -              3e-18   57.5   0.0   3.4e-18   57.3   0.0   1.1   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_15-gene_5 -          Phage_cluster_1189.ali_faa -            0.00021   13.5   0.4   0.00021   13.5   0.4   1.3   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_5 -          Phage_cluster_1189.ali_faa -            0.00021   13.5   0.4   0.00021   13.5   0.4   1.3   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_18-gene_2 -          Phage_cluster_1189.ali_faa -            0.00021   13.5   0.4   0.00021   13.5   0.4   1.3   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_8-gene_1 -          Phage_cluster_1207.ali_faa -            7.4e-05   12.2   5.0   8.8e-05   12.0   0.2   2.3   1   1   0   2   2   2   2 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_6 -          Phage_cluster_1366.ali_faa -            2.8e-14   45.1   3.4     4e-13   41.3   3.4   2.0   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_4-gene_3 -          Phage_cluster_1366.ali_faa -            2.8e-14   45.1   3.4     4e-13   41.3   3.4   2.0   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_5-gene_1 -          Phage_cluster_1366.ali_faa -            2.7e-09   28.8   0.5   1.6e-06   19.7   0.1   2.0   2   0   0   2   2   2   2 -
VIRSorter_short1-ContigCoA-KX349310_12-gene_5 -          Phage_cluster_1419.ali_faa -            2.1e-06   18.4   6.3   3.6e-06   17.6   6.3   1.3   1   0   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_3 -          Phage_cluster_144.ali_faa -            6.1e-13   40.9   1.1   1.1e-12   40.0   1.1   1.4   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_17-gene_1 -          Phage_cluster_1474.ali_faa -              0.032    3.5  13.1     0.037    3.3  13.1   1.0   1   0   0   1   1   1   0 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_6 -          Phage_cluster_1503.ali_faa -            1.8e-09   29.8   1.0   4.9e-05   15.4   0.1   2.3   1   1   0   2   2   2   2 -
VIRSorter_short1-ContigCoA-KX349310_4-gene_3 -          Phage_cluster_1503.ali_faa -            1.8e-09   29.8   1.0   4.9e-05   15.4   0.1   2.3   1   1   0   2   2   2   2 -
VIRSorter_short1-ContigCoA-KX349310_5-gene_1 -          Phage_cluster_1503.ali_faa -            2.9e-08   25.8   0.7   1.9e-05   16.7   0.1   2.1   1   1   1   2   2   2   2 -
VIRSorter_short1-ContigCoA-KX349310_2-gene_7 -          Phage_cluster_1515.ali_faa -            5.3e-19   60.7   0.6   1.8e-15   49.1   0.6   3.0   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_4-gene_4 -          Phage_cluster_1515.ali_faa -            5.3e-19   60.7   0.6   1.8e-15   49.1   0.6   3.0   1   1   0   1   1   1   1 -
VIRSorter_short1-ContigCoA-KX349310_5-gene_2 -          Phage_cluster_1515.ali_faa -            5.3e-19   60.7   0.6   1.8e-15   49.1   0.6   3.0   1   1   0   1   1   1   1 -
